Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
pawlio-cloud-donut-bed,Pawlio Cloud Donut Bed,<p><strong>The bed they will never want to leave.</strong> Plush faux fur and a raised donut rim give your dog a cozy place to curl up and rest their head.</p><ul><li>Ultra-soft faux fur that stays fluffy</li><li>Raised rim for head and neck support</li><li>Non-slip bottom for hard floors</li><li>Three sizes for every breed</li></ul>,Pawlio,,Dog Bed,"bed, comfort, pawlio-test",TRUE,Size,Small (up to 25 lb),Color,Cream,,,,1800,,,continue,manual,39.95,,TRUE,TRUE,,https://d8j0ntlcm91z4.cloudfront.net/user_3DvRigiWzRpDDUnGkPjPoaCth02/hf_20260925_191934_b078c999-6c2e-4cf8-a9e7-f2a0429fd9c7.png,1,Pawlio Cloud Donut Bed,FALSE,,,,lb,,,active
pawlio-cloud-donut-bed,,,,,,,,,Small (up to 25 lb),,Sage,,,,1800,,,continue,manual,39.95,,TRUE,TRUE,,,,,,,,,lb,,,
pawlio-cloud-donut-bed,,,,,,,,,Medium (up to 45 lb),,Cream,,,,1800,,,continue,manual,49.95,,TRUE,TRUE,,,,,,,,,lb,,,
pawlio-cloud-donut-bed,,,,,,,,,Medium (up to 45 lb),,Sage,,,,1800,,,continue,manual,49.95,,TRUE,TRUE,,,,,,,,,lb,,,
pawlio-cloud-donut-bed,,,,,,,,,Large (up to 80 lb),,Cream,,,,1800,,,continue,manual,64.95,,TRUE,TRUE,,,,,,,,,lb,,,
pawlio-cloud-donut-bed,,,,,,,,,Large (up to 80 lb),,Sage,,,,1800,,,continue,manual,64.95,,TRUE,TRUE,,,,,,,,,lb,,,
pawlio-everyday-harness,Pawlio Everyday Harness,"<p><strong>Comfortable walks, zero tugging on the neck.</strong> A padded, breathable harness with adjustable straps and a sturdy metal D-ring.</p><ul><li>Soft padded chest plate</li><li>Four adjustment points for a snug fit</li><li>Heavy-duty metal D-ring for the leash</li><li>Easy to put on and take off</li></ul>",Pawlio,,Harness,"harness, walk, pawlio-test",TRUE,Size,XS,Color,Forest,,,,300,,,continue,manual,29.95,,TRUE,TRUE,,https://d8j0ntlcm91z4.cloudfront.net/user_3DvRigiWzRpDDUnGkPjPoaCth02/hf_20260925_191936_0fa1dee0-c02d-4349-82f3-ad7b1d56576c.png,1,Pawlio Everyday Harness,FALSE,,,,lb,,,active
pawlio-everyday-harness,,,,,,,,,XS,,Sand,,,,300,,,continue,manual,29.95,,TRUE,TRUE,,,,,,,,,lb,,,
pawlio-everyday-harness,,,,,,,,,S,,Forest,,,,300,,,continue,manual,29.95,,TRUE,TRUE,,,,,,,,,lb,,,
pawlio-everyday-harness,,,,,,,,,S,,Sand,,,,300,,,continue,manual,29.95,,TRUE,TRUE,,,,,,,,,lb,,,
